county,state,poverty_perc,percent_high_cholesterol
Franklin,ID,7.7,31.4
Fremont,ID,12.6,32.2
Gem,ID,11.0,33.8
Gooding,ID,11.2,31.4
Jefferson,ID,8.5,28.2
Jerome,ID,12.3,28.5
Lincoln,ID,11.4,30.1
Madison,ID,14.3,20.6
Minidoka,ID,14.0,31.5
Oneida,ID,9.7,35.6
Owyhee,ID,13.6,32.1
Payette,ID,11.5,32.1
Power,ID,12.4,30.8
Teton,ID,7.4,28.3
Twin Falls,ID,11.1,29.2
Washington,ID,14.2,35.4
Churchill,NV,10.3,33.9
Clark,NV,13.2,31.8
Douglas,NV,8.0,36.3
Elko,NV,11.2,29.1
Esmeralda,NV,14.4,39.7
Eureka,NV,10.3,34.7
Humboldt,NV,9.8,32.1
Lander,NV,9.4,33.6
Lincoln,NV,13.2,34.7
Lyon,NV,10.1,35.8
Mineral,NV,15.4,37.3
Nye,NV,14.2,40.6
Pershing,NV,18.1,32.8
Storey,NV,7.8,38.5
Washoe,NV,10.2,34.0
White Pine,NV,12.3,32.2
Carson City,NV,12.5,33.4
Catron,NM,22.8,39.0
Cibola,NM,25.1,31.3
Do̱a Ana,NM,20.5,30.4
Grant,NM,20.0,34.3
Hidalgo,NM,19.8,34.2
Luna,NM,22.3,32.1
McKinley,NM,32.0,30.3
Sandoval,NM,10.4,30.5
San Juan,NM,21.5,28.4
Sierra,NM,22.1,37.7
Socorro,NM,25.1,32.3
Valencia,NM,15.5,30.3
Grant,OR,13.9,37.2
Harney,OR,12.6,33.5
Malheur,OR,19.5,31.0
Beaver,UT,7.7,32.0
Box Elder,UT,6.8,30.7
Cache,UT,9.2,27.1
Carbon,UT,12.8,33.0
Daggett,UT,6.5,37.3
Davis,UT,5.0,30.5
Duchesne,UT,10.6,29.4
Emery,UT,9.3,34.1
Garfield,UT,9.7,36.7
Grand,UT,10.4,32.1
Iron,UT,13.7,29.7
Juab,UT,7.7,31.8
Kane,UT,9.0,35.8
Millard,UT,10.7,32.3
Morgan,UT,3.7,30.7
Piute,UT,15.3,38.2
Rich,UT,8.4,32.9
Salt Lake,UT,7.0,27.5
San Juan,UT,18.6,30.9
Sanpete,UT,14.1,28.8
Sevier,UT,10.0,34.6
Summit,UT,4.5,30.3
Tooele,UT,5.7,28.2
Uintah,UT,10.8,32.5
Utah,UT,7.8,24.7
Wasatch,UT,4.7,29.2
Washington,UT,6.9,33.1
Wayne,UT,11.2,35.3
Weber,UT,7.3,28.9
Big Horn,WY,11.5,32.0
Carbon,WY,10.4,30.8
Fremont,WY,15.0,30.4
Hot Springs,WY,10.9,36.1
Lincoln,WY,6.9,33.6
Natrona,WY,9.4,30.9
Park,WY,8.2,31.6
Sublette,WY,6.2,31.0
Sweetwater,WY,7.6,27.8
Teton,WY,5.2,27.6
Uinta,WY,8.5,30.6
Washakie,WY,9.7,32.1
De Soto,LA,19.8,38.6
Anderson,TX,20.9,34.2
Angelina,TX,17.0,36.7
Aransas,TX,17.1,41.4
Atascosa,TX,14.9,35.2
Austin,TX,11.4,35.9
Bandera,TX,11.0,40.9
Bastrop,TX,10.8,35.4
Bee,TX,23.1,33.0
Bell,TX,14.7,29.7
Bexar,TX,15.0,32.2
Blanco,TX,9.8,40.0
Bosque,TX,12.5,39.3
Brazoria,TX,8.3,31.5
Brazos,TX,22.3,27.2
Brewster,TX,14.0,36.5
Brooks,TX,28.7,38.3
Brown,TX,15.6,37.4
Burleson,TX,13.1,37.8
Burnet,TX,9.5,37.4
Caldwell,TX,12.7,34.6
Calhoun,TX,12.4,35.2
Cameron,TX,24.4,34.8
Chambers,TX,9.3,32.6
Cherokee,TX,16.7,37.0
Coke,TX,11.4,40.0
Coleman,TX,16.0,40.3
Colorado,TX,12.7,35.9
Comal,TX,7.5,34.7
Comanche,TX,15.9,38.2
Concho,TX,13.5,40.2
Coryell,TX,12.7,29.4
Crane,TX,9.0,33.2
Crockett,TX,12.4,36.8
Culberson,TX,18.6,40.9
DeWitt,TX,20.5,37.1
Dimmit,TX,25.5,37.7
Duval,TX,20.0,37.3
Ector,TX,13.6,30.1
Edwards,TX,19.1,41.5
El Paso,TX,17.6,31.6
Falls,TX,20.0,36.1
Fayette,TX,9.4,37.8
Fort Bend,TX,7.4,34.2
Freestone,TX,13.3,38.0
Frio,TX,22.3,32.5
Galveston,TX,9.9,34.0
Gillespie,TX,9.2,39.5
Glasscock,TX,7.3,35.0
Goliad,TX,13.2,38.9
Gonzales,TX,14.3,36.1
Grimes,TX,15.3,37.6
Guadalupe,TX,8.5,32.4
Hamilton,TX,14.7,39.9
Hardin,TX,10.4,37.1
Harris,TX,15.9,34.1
Hays,TX,9.6,30.5
Hidalgo,TX,23.9,32.0
Hill,TX,14.0,37.4
Houston,TX,20.0,38.4
Hudspeth,TX,24.2,35.4
Irion,TX,6.9,38.3
Jackson,TX,12.7,36.1
Jasper,TX,17.3,38.4
Jeff Davis,TX,22.2,42.2
Jefferson,TX,18.3,33.3
Jim Hogg,TX,20.1,37.8
Jim Wells,TX,20.1,35.9
Karnes,TX,17.5,32.4
Kendall,TX,6.7,35.6
Kenedy,TX,10.8,39.8
Kerr,TX,11.6,39.2
Kimble,TX,15.7,41.0
Kinney,TX,17.9,37.6
Kleberg,TX,20.8,31.4
Lampasas,TX,10.0,37.7
La Salle,TX,24.0,31.3
Lavaca,TX,10.6,38.4
Lee,TX,10.6,36.5
Leon,TX,13.8,40.1
Liberty,TX,14.4,34.4
Limestone,TX,16.8,37.1
Live Oak,TX,17.0,37.2
Llano,TX,10.9,43.9
Loving,TX,3.9,35.6
McCulloch,TX,16.2,38.3
McLennan,TX,17.0,33.4
McMullen,TX,9.7,38.5
Madison,TX,17.4,32.5
Mason,TX,9.8,40.0
Matagorda,TX,17.3,35.9
Maverick,TX,20.0,34.4
Medina,TX,11.2,35.7
Menard,TX,19.1,41.8
Midland,TX,9.7,30.4
Milam,TX,17.4,37.9
Mills,TX,14.4,41.4
Montgomery,TX,8.2,34.7
Nacogdoches,TX,19.5,32.7
Navarro,TX,14.8,36.9
Newton,TX,21.3,38.1
Nueces,TX,17.5,33.1
Orange,TX,15.1,34.8
Pecos,TX,16.5,34.3
Polk,TX,15.0,40.9
Presidio,TX,19.4,41.9
Reagan,TX,8.3,32.4
Real,TX,16.4,42.4
Reeves,TX,19.0,32.3
Refugio,TX,15.3,38.4
Robertson,TX,14.2,36.8
Runnels,TX,14.3,37.8
Sabine,TX,16.0,43.6
San Augustine,TX,19.6,42.2
San Jacinto,TX,16.1,38.8
San Patricio,TX,14.8,34.4
San Saba,TX,17.4,37.3
Schleicher,TX,13.2,35.9
Shelby,TX,18.0,36.8
Starr,TX,25.2,34.8
Sterling,TX,10.2,34.7
Sutton,TX,11.7,36.9
Terrell,TX,14.0,41.9
Tom Green,TX,12.0,32.9
Travis,TX,10.2,29.8
Trinity,TX,16.8,41.9
Tyler,TX,18.9,38.5
Upton,TX,12.1,34.9
Uvalde,TX,19.0,35.0
Val Verde,TX,15.6,34.5
Victoria,TX,16.5,33.9
Walker,TX,18.0,32.1
Waller,TX,12.6,30.6
Ward,TX,9.8,34.1
Washington,TX,11.7,36.0
Webb,TX,19.9,32.8
Wharton,TX,13.8,35.1
Willacy,TX,24.7,34.8
Williamson,TX,5.6,33.1
Wilson,TX,9.4,35.5
Winkler,TX,11.8,33.6
Zapata,TX,24.6,35.7
Zavala,TX,27.2,36.0
Benton,AR,9.1,31.9
Crawford,AR,14.4,38.9
Franklin,AR,15.3,42.1
Hempstead,AR,18.7,38.1
Howard,AR,16.7,38.4
Little River,AR,16.2,40.1
Logan,AR,15.8,40.8
Madison,AR,16.9,39.8
Miller,AR,19.2,39.0
Polk,AR,18.1,42.6
Scott,AR,17.5,41.8
Sebastian,AR,16.8,38.1
Sevier,AR,16.7,36.6
Washington,AR,13.2,29.3
Adams,CO,9.4,27.0
Alamosa,CO,16.7,27.6
Arapahoe,CO,7.0,27.6
Baca,CO,16.9,34.9
Bent,CO,26.6,31.4
Boulder,CO,9.5,27.6
Broomfield,CO,4.2,27.5
Chaffee,CO,9.6,34.2
Cheyenne,CO,12.3,32.4
Clear Creek,CO,7.3,32.2
Conejos,CO,17.6,34.1
Costilla,CO,21.8,36.8
Crowley,CO,37.2,28.7
Custer,CO,12.2,37.5
Denver,CO,12.4,25.8
Douglas,CO,3.0,31.3
Eagle,CO,6.4,27.7
Elbert,CO,4.8,32.2
El Paso,CO,9.1,30.0
Fremont,CO,15.2,31.6
Gilpin,CO,6.6,32.3
Grand,CO,6.8,31.4
Huerfano,CO,19.9,37.2
Jackson,CO,11.6,34.2
Jefferson,CO,6.1,29.0
Kiowa,CO,12.0,34.2
Kit Carson,CO,10.8,32.2
Lake,CO,10.6,29.2
Larimer,CO,9.9,27.2
Las Animas,CO,16.4,33.2
Lincoln,CO,15.6,30.6
Logan,CO,13.1,29.3
Morgan,CO,10.5,29.5
Otero,CO,17.6,33.3
Park,CO,7.8,34.2
Phillips,CO,10.2,33.0
Prowers,CO,16.2,30.8
Pueblo,CO,14.1,31.5
Rio Grande,CO,13.3,31.8
Saguache,CO,18.6,35.3
Sedgwick,CO,13.2,35.9
Summit,CO,6.1,28.2
Teller,CO,7.3,33.8
Washington,CO,11.8,33.8
Weld,CO,8.9,28.8
Yuma,CO,11.5,30.5
Adair,IA,10.8,36.6
Adams,IA,10.8,37.3
Audubon,IA,9.6,36.8
Boone,IA,6.9,34.6
Buena Vista,IA,9.1,30.9
Calhoun,IA,10.0,35.2
Carroll,IA,7.0,34.7
Cass,IA,10.8,37.7
Cherokee,IA,9.0,36.0
Clarke,IA,11.1,33.7
Clay,IA,8.1,35.2
Crawford,IA,12.5,33.0
Dallas,IA,4.4,29.4
Decatur,IA,16.9,34.2
Dickinson,IA,6.7,35.2
Emmet,IA,10.2,33.9
Fremont,IA,9.1,36.8
Greene,IA,10.7,36.3
Guthrie,IA,8.5,35.6
Hamilton,IA,8.1,35.1
Hancock,IA,8.1,35.6
Harrison,IA,8.3,36.2
Humboldt,IA,8.8,35.9
Ida,IA,10.3,35.7
Kossuth,IA,10.0,35.9
Lyon,IA,6.3,32.5
Madison,IA,7.5,33.7
Mills,IA,8.3,34.5
Monona,IA,11.0,37.6
Montgomery,IA,11.6,35.7
O'Brien,IA,8.4,34.2
Osceola,IA,7.9,35.3
Page,IA,13.2,35.3
Palo Alto,IA,9.5,35.0
Plymouth,IA,6.0,32.6
Pocahontas,IA,10.2,36.6
Pottawattamie,IA,9.2,32.7
Ringgold,IA,13.3,36.2
Sac,IA,10.5,35.3
Shelby,IA,8.3,37.3
Sioux,IA,6.5,30.9
Taylor,IA,10.5,35.7
Union,IA,12.1,35.3
Webster,IA,12.4,32.1
Winnebago,IA,9.3,33.8
Woodbury,IA,11.3,31.5
Wright,IA,10.7,36.3
Allen,KS,14.5,36.4
Anderson,KS,12.7,37.0
Atchison,KS,13.1,34.5
Barber,KS,12.0,37.5
Barton,KS,12.7,36.2
