county,state,poverty_perc,percent_high_cholesterol
Roger Mills,OK,13.5,39.0
Rogers,OK,8.5,37.7
Seminole,OK,21.2,38.5
Sequoyah,OK,16.9,37.8
Stephens,OK,17.7,36.3
Texas,OK,11.1,33.4
Tillman,OK,21.9,39.0
Tulsa,OK,12.8,34.0
Wagoner,OK,10.2,36.7
Washington,OK,14.8,34.4
Washita,OK,14.7,37.6
Woods,OK,15.1,32.1
Woodward,OK,13.3,33.9
Aurora,SD,10.2,32.1
Beadle,SD,12.6,32.2
Bennett,SD,28.3,30.1
Bon Homme,SD,15.0,31.5
Brookings,SD,9.9,23.4
Brule,SD,13.7,32.7
Buffalo,SD,32.8,28.6
Charles Mix,SD,24.0,33.1
Clay,SD,16.2,24.1
Custer,SD,9.7,37.0
Davison,SD,10.7,31.2
Douglas,SD,11.8,34.2
Fall River,SD,15.4,36.9
Gregory,SD,15.1,35.9
Haakon,SD,11.7,35.3
Hand,SD,9.1,34.3
Hanson,SD,10.4,31.4
Hughes,SD,9.4,30.5
Hutchinson,SD,12.8,33.3
Hyde,SD,11.5,33.9
Jackson,SD,28.7,32.9
Jerauld,SD,14.4,34.0
Jones,SD,14.9,34.0
Kingsbury,SD,10.2,34.2
Lake,SD,9.9,32.6
Lawrence,SD,11.5,31.6
Lincoln,SD,4.5,28.7
Lyman,SD,23.9,32.1
McCook,SD,9.6,32.5
Meade,SD,8.7,27.3
Mellette,SD,29.9,30.8
Miner,SD,12.6,33.3
Minnehaha,SD,8.1,29.0
Moody,SD,9.4,31.7
Pennington,SD,12.1,33.5
Sanborn,SD,13.7,32.9
Oglala Lakota,SD,38.1,26.8
Stanley,SD,7.5,31.9
Todd,SD,42.5,28.5
Tripp,SD,19.3,34.4
Turner,SD,8.8,33.3
Union,SD,5.9,31.9
Yankton,SD,10.4,31.5
Andrews,TX,9.2,31.6
Archer,TX,6.9,38.3
Armstrong,TX,9.3,39.7
Bailey,TX,14.4,33.7
Baylor,TX,15.3,38.5
Borden,TX,7.5,38.7
Bowie,TX,17.4,35.0
Briscoe,TX,13.4,39.4
Callahan,TX,12.2,38.9
Camp,TX,16.7,35.9
Carson,TX,8.3,37.8
Cass,TX,17.7,39.4
Castro,TX,15.3,35.1
Childress,TX,21.4,31.6
Clay,TX,11.1,39.0
Cochran,TX,19.2,36.8
Collin,TX,6.2,33.8
Collingsworth,TX,16.9,36.4
Cooke,TX,11.3,36.4
Cottle,TX,17.9,40.8
Crosby,TX,19.8,37.1
Dallam,TX,11.1,33.3
Dallas,TX,13.7,30.8
Dawson,TX,18.7,34.9
Deaf Smith,TX,15.5,33.1
Delta,TX,14.3,38.3
Denton,TX,6.9,31.9
Dickens,TX,18.9,37.3
Donley,TX,16.3,38.2
Eastland,TX,17.0,38.3
Ellis,TX,7.9,33.0
Erath,TX,12.6,31.3
Fannin,TX,15.4,36.8
Fisher,TX,13.3,39.1
Floyd,TX,17.7,36.2
Foard,TX,16.8,40.9
Franklin,TX,12.9,37.4
Gaines,TX,11.1,32.7
Garza,TX,20.6,31.6
Gray,TX,14.2,35.9
Grayson,TX,13.6,36.1
Gregg,TX,18.1,34.8
Hale,TX,17.6,33.2
Hall,TX,18.6,39.7
Hansford,TX,10.7,35.5
Hardeman,TX,15.0,38.5
Harrison,TX,15.6,35.9
Hartley,TX,9.5,34.3
Haskell,TX,20.0,38.9
Hemphill,TX,9.5,34.3
Henderson,TX,14.2,39.3
Hockley,TX,12.9,34.2
Hood,TX,9.4,38.9
Hopkins,TX,12.7,36.3
Howard,TX,15.7,33.2
Hunt,TX,12.6,35.3
Hutchinson,TX,12.1,36.3
Jack,TX,13.6,35.7
Johnson,TX,9.5,35.3
Jones,TX,19.5,34.3
Kaufman,TX,9.2,32.4
Kent,TX,11.3,39.8
King,TX,12.4,39.0
Knox,TX,16.3,37.9
Lamar,TX,19.6,37.2
Lamb,TX,17.6,36.4
Lipscomb,TX,11.3,36.2
Lubbock,TX,15.8,31.5
Lynn,TX,14.4,37.1
Marion,TX,20.0,41.9
Martin,TX,11.1,33.2
Mitchell,TX,18.7,33.0
Montague,TX,12.4,39.1
Moore,TX,10.6,33.0
Morris,TX,17.0,38.0
Motley,TX,16.3,40.5
Nolan,TX,17.2,36.7
Ochiltree,TX,9.2,33.2
Oldham,TX,14.0,35.9
Palo Pinto,TX,13.9,37.9
Panola,TX,15.3,38.1
Parker,TX,8.0,35.5
Parmer,TX,12.2,34.7
Potter,TX,20.8,33.5
Rains,TX,13.6,40.4
Randall,TX,9.6,33.3
Red River,TX,15.7,40.4
Roberts,TX,6.4,38.4
Rockwall,TX,4.8,33.0
Rusk,TX,14.2,35.1
Scurry,TX,13.8,34.5
Shackelford,TX,12.5,38.8
Sherman,TX,11.3,35.4
Smith,TX,12.7,34.2
Somervell,TX,8.3,37.2
Stephens,TX,15.6,36.6
Stonewall,TX,14.3,40.8
Swisher,TX,19.6,36.0
Tarrant,TX,10.5,34.4
Taylor,TX,12.2,32.0
Terry,TX,18.5,35.3
Throckmorton,TX,13.5,41.3
Titus,TX,14.3,33.8
Upshur,TX,12.6,37.3
Van Zandt,TX,12.9,38.3
Wheeler,TX,13.5,37.8
Wichita,TX,16.0,33.2
Wilbarger,TX,14.6,37.3
Wise,TX,10.0,36.3
Wood,TX,13.5,40.1
Yoakum,TX,10.8,32.9
Young,TX,14.8,38.0
Albany,WY,15.3,23.7
Campbell,WY,7.3,27.4
Converse,WY,8.2,32.6
Crook,WY,7.3,32.9
Goshen,WY,12.8,32.7
Johnson,WY,8.9,33.7
Laramie,WY,7.4,28.1
Niobrara,WY,12.6,31.0
Platte,WY,9.9,33.5
Weston,WY,10.6,32.6
Adams,ID,13.7,37.9
Benewah,ID,12.5,35.5
Bonner,ID,12.6,36.5
Boundary,ID,14.0,34.4
Clearwater,ID,14.0,34.3
Idaho,ID,13.1,36.5
Kootenai,ID,8.6,31.4
Latah,ID,15.3,26.2
Lemhi,ID,15.3,34.6
Lewis,ID,12.9,37.6
Nez Perce,ID,11.6,31.8
Shoshone,ID,14.4,36.8
Valley,ID,8.7,33.2
Becker,MN,11.4,34.5
Beltrami,MN,12.1,30.1
Benton,MN,6.9,28.8
Big Stone,MN,10.9,35.4
Carver,MN,3.5,28.3
Cass,MN,12.6,35.0
Chippewa,MN,9.3,33.3
Clay,MN,8.8,26.7
Clearwater,MN,12.8,34.4
Crow Wing,MN,8.5,31.7
Douglas,MN,7.4,31.4
Grant,MN,9.3,34.0
Hubbard,MN,9.1,34.9
Itasca,MN,10.5,33.7
Kandiyohi,MN,8.2,31.2
Kittson,MN,10.3,33.9
Koochiching,MN,11.6,35.9
Lac qui Parle,MN,8.6,35.4
Lake of the Woods,MN,8.8,35.2
McLeod,MN,5.8,31.9
Mahnomen,MN,15.3,32.7
Marshall,MN,7.9,32.3
Meeker,MN,6.2,33.1
Morrison,MN,9.8,31.9
Norman,MN,10.5,32.9
Otter Tail,MN,7.8,36.0
Pennington,MN,8.2,31.9
Polk,MN,10.6,30.0
Pope,MN,7.9,34.1
Red Lake,MN,8.3,33.4
Renville,MN,8.6,32.4
Roseau,MN,7.3,32.9
Sherburne,MN,4.4,28.4
Stearns,MN,10.6,28.4
Stevens,MN,9.1,27.8
Swift,MN,9.5,33.9
Todd,MN,12.2,34.3
Traverse,MN,11.6,33.3
Wadena,MN,11.2,33.4
Wilkin,MN,8.3,32.1
Wright,MN,4.6,29.1
Yellow Medicine,MN,8.6,32.2
Beaverhead,MT,13.3,31.5
Big Horn,MT,28.9,29.1
Blaine,MT,20.9,29.0
Broadwater,MT,9.1,34.5
Carbon,MT,11.2,36.1
Carter,MT,14.7,35.1
Cascade,MT,13.5,28.8
Chouteau,MT,15.1,32.0
Custer,MT,11.5,31.7
Daniels,MT,11.2,35.3
Dawson,MT,10.8,32.4
Deer Lodge,MT,17.9,34.4
Fallon,MT,9.4,31.8
Fergus,MT,13.6,34.2
Flathead,MT,10.5,30.6
Gallatin,MT,8.8,24.0
Garfield,MT,15.0,35.1
Glacier,MT,24.3,30.6
Golden Valley,MT,18.6,35.4
Granite,MT,12.7,37.0
Hill,MT,18.9,30.0
Jefferson,MT,6.7,34.0
Judith Basin,MT,15.7,35.0
Lake,MT,18.3,34.2
Lewis and Clark,MT,10.2,32.2
Liberty,MT,19.0,34.8
Lincoln,MT,17.9,37.1
McCone,MT,14.5,34.8
Madison,MT,9.9,35.5
Meagher,MT,16.6,36.4
Mineral,MT,14.9,37.8
Missoula,MT,11.8,27.5
Musselshell,MT,15.4,36.7
Park,MT,10.9,34.5
Petroleum,MT,15.0,35.2
Phillips,MT,14.9,33.2
Pondera,MT,18.5,33.2
Powder River,MT,12.6,35.7
Powell,MT,16.5,33.5
Prairie,MT,12.8,36.7
Ravalli,MT,11.3,36.2
Richland,MT,8.0,29.8
Roosevelt,MT,23.8,29.1
Rosebud,MT,17.5,31.1
Sanders,MT,16.3,37.4
Sheridan,MT,11.8,32.8
Silver Bow,MT,13.2,31.6
Stillwater,MT,7.8,34.1
Sweet Grass,MT,9.3,34.8
Teton,MT,12.4,32.4
Toole,MT,15.8,32.5
Treasure,MT,12.5,36.6
Valley,MT,13.4,33.3
Wheatland,MT,20.9,36.1
Wibaux,MT,11.7,34.4
Yellowstone,MT,10.6,29.9
Adams,ND,10.8,36.3
Barnes,ND,9.9,34.3
Benson,ND,24.2,32.3
Billings,ND,10.0,34.6
Bottineau,ND,9.7,36.0
Bowman,ND,8.9,34.2
Burke,ND,7.9,35.1
Burleigh,ND,8.6,31.6
Cass,ND,9.7,27.2
Cavalier,ND,8.5,37.8
Dickey,ND,10.2,33.8
Divide,ND,10.7,37.8
Dunn,ND,10.0,32.9
Eddy,ND,11.2,36.2
Emmons,ND,13.7,37.1
Foster,ND,7.9,34.9
Golden Valley,ND,11.0,35.7
Grand Forks,ND,12.7,26.7
Grant,ND,13.5,38.1
Griggs,ND,9.6,37.1
Hettinger,ND,11.6,34.6
Kidder,ND,13.5,36.4
LaMoure,ND,10.9,37.3
Logan,ND,14.5,37.5
McHenry,ND,12.0,35.1
McIntosh,ND,12.2,39.8
McKenzie,ND,7.5,26.4
McLean,ND,8.4,35.4
Mercer,ND,8.0,34.4
Morton,ND,8.3,34.0
Mountrail,ND,11.0,29.6
Nelson,ND,9.8,36.7
Oliver,ND,10.7,36.2
Pembina,ND,7.6,35.5
Pierce,ND,11.0,34.5
Ramsey,ND,12.2,33.1
Ransom,ND,9.3,34.6
Renville,ND,7.7,35.6
Richland,ND,9.4,31.5
Rolette,ND,21.3,33.2
Sargent,ND,7.4,35.6
Sheridan,ND,16.6,38.9
Sioux,ND,28.3,30.0
Slope,ND,13.5,36.7
Stark,ND,10.0,30.9
Steele,ND,7.9,35.5
Stutsman,ND,10.6,33.4
Towner,ND,9.8,37.8
Traill,ND,7.0,32.9
Walsh,ND,10.6,33.9
Ward,ND,8.9,27.6
Wells,ND,10.9,36.7
Williams,ND,9.6,26.7
Baker,OR,14.5,36.3
Morrow,OR,11.5,30.7
Umatilla,OR,11.7,28.3
Union,OR,12.6,31.6
Wallowa,OR,11.6,36.5
Brown,SD,9.1,32.4
Butte,SD,12.5,33.8
Campbell,SD,10.7,35.6
Clark,SD,12.3,32.9
Codington,SD,9.0,28.9
Corson,SD,37.1,32.1
Day,SD,12.9,35.6
Deuel,SD,9.5,33.0
Dewey,SD,24.9,29.4
Edmunds,SD,12.2,32.4
Faulk,SD,18.7,33.4
Grant,SD,9.3,32.9
Hamlin,SD,8.9,30.8
Harding,SD,11.0,32.0
McPherson,SD,18.4,36.5
Marshall,SD,13.2,32.2
Perkins,SD,15.4,34.6
Potter,SD,9.4,35.6
Roberts,SD,17.8,32.5
Spink,SD,12.8,33.4
Sully,SD,7.8,34.9
Walworth,SD,15.0,34.3
Ziebach,SD,43.9,29.9
Adams,WA,12.7,30.2
Asotin,WA,14.1,36.7
Benton,WA,9.1,32.3
Columbia,WA,12.6,36.8
Douglas,WA,10.5,31.9
Ferry,WA,18.4,37.4
Franklin,WA,12.4,29.0
Garfield,WA,11.4,35.8
Grant,WA,13.6,34.0
Lincoln,WA,11.4,37.9
Pend Oreille,WA,14.7,38.6
Spokane,WA,13.4,31.4
Stevens,WA,15.0,35.0
Walla Walla,WA,12.9,30.4
Whitman,WA,15.7,24.6
Sheridan,WY,9.5,31.3
Baldwin,AL,8.9,37.9
Barbour,AL,25.5,38.6
Bullock,AL,30.8,36.1
Butler,AL,20.6,39.6
Choctaw,AL,20.4,40.0
Clarke,AL,19.5,38.0
Coffee,AL,13.9,35.3
Conecuh,AL,22.9,39.5
Covington,AL,17.1,40.6
Crenshaw,AL,16.8,39.7
Dale,AL,15.5,37.8
Escambia,AL,20.4,35.1
Geneva,AL,21.0,40.7
Henry,AL,16.2,38.9
Houston,AL,14.8,36.5
Mobile,AL,17.6,36.5
Monroe,AL,22.5,38.8
Pike,AL,19.7,32.6
Washington,AL,17.5,38.2
Wilcox,AL,22.2,38.8
Alachua,FL,17.2,27.6
Baker,FL,12.8,32.5
Bay,FL,12.4,33.5
Bradford,FL,17.5,34.9
Brevard,FL,9.9,34.9
Calhoun,FL,20.3,36.9
Charlotte,FL,9.8,41.2
Citrus,FL,12.6,42.4
Clay,FL,8.9,30.4
Collier,FL,10.1,35.9
Columbia,FL,15.6,34.9
DeSoto,FL,20.8,34.5
Dixie,FL,23.2,38.1
Duval,FL,15.2,31.3
Escambia,FL,13.5,31.8
Flagler,FL,9.4,37.8
Franklin,FL,19.1,36.5
Gadsden,FL,21.9,33.5
Gilchrist,FL,14.5,36.0
Glades,FL,18.1,35.5
Gulf,FL,15.1,37.5
Hamilton,FL,24.2,34.4
Hardee,FL,21.2,33.1
Hendry,FL,22.9,30.6
Hernando,FL,12.5,35.9
Highlands,FL,16.1,38.2
Hillsborough,FL,11.9,30.4
Holmes,FL,20.5,36.2
Indian River,FL,8.7,38.3
Jackson,FL,19.5,34.7
Jefferson,FL,17.2,37.5
Lafayette,FL,20.7,32.2
Lake,FL,9.2,35.4
Lee,FL,10.5,34.3
Leon,FL,17.6,26.9
Levy,FL,16.9,35.8
Liberty,FL,21.2,33.7
Madison,FL,23.8,36.2
Manatee,FL,10.9,35.1
Marion,FL,15.3,36.3
Monroe,FL,10.2,33.7
Nassau,FL,8.1,36.0
Okaloosa,FL,9.6,30.8
Okeechobee,FL,17.7,34.4
Orange,FL,12.7,28.2
Osceola,FL,11.8,30.4
Pasco,FL,11.4,34.4
Pinellas,FL,11.1,36.4
Polk,FL,14.4,35.0
Putnam,FL,24.3,38.8
St. Johns,FL,8.1,33.0
Santa Rosa,FL,9.4,33.0
Sarasota,FL,8.7,34.3
Seminole,FL,8.0,31.0
Sumter,FL,12.3,42.8
Suwannee,FL,17.7,37.2
Taylor,FL,19.3,34.6
Union,FL,20.7,34.5
Volusia,FL,11.6,35.2
Wakulla,FL,10.3,33.0
Walton,FL,11.4,34.8
Washington,FL,20.4,34.8
Appling,GA,19.9,37.1
Atkinson,GA,21.6,34.7
Bacon,GA,21.1,36.0
Baker,GA,23.7,38.1
Ben Hill,GA,22.3,36.1
Berrien,GA,18.9,36.8
Brantley,GA,17.8,38.0
Brooks,GA,20.6,37.1
Bryan,GA,8.0,29.8
Calhoun,GA,34.4,35.2
Camden,GA,9.4,31.5
Charlton,GA,25.5,35.3
Chatham,GA,15.6,31.4
Clay,GA,24.1,40.7
Clinch,GA,20.4,37.1
Coffee,GA,23.1,33.9
Colquitt,GA,20.4,35.1
Cook,GA,19.5,37.2
Crisp,GA,24.5,37.2
Decatur,GA,25.6,35.4
Dougherty,GA,27.4,33.2
Early,GA,24.0,37.6
Echols,GA,20.6,33.3
Glynn,GA,15.5,36.5
Grady,GA,18.7,36.5
Irwin,GA,20.9,35.4
Jeff Davis,GA,20.0,36.3
Lanier,GA,19.6,35.0
Lee,GA,10.1,33.4
Liberty,GA,14.7,29.2
Long,GA,16.7,31.6
Lowndes,GA,20.3,31.2
McIntosh,GA,19.9,39.6
Miller,GA,19.8,37.7
Mitchell,GA,38.2,35.0
Pierce,GA,16.5,37.0
Quitman,GA,23.1,42.5
Randolph,GA,27.4,39.4
Seminole,GA,22.9,38.4
Stewart,GA,31.3,28.9
Sumter,GA,24.3,35.5
Tattnall,GA,20.7,33.7
Telfair,GA,29.9,36.1
Terrell,GA,27.8,37.2
Thomas,GA,16.2,34.7
Tift,GA,20.5,33.3
Turner,GA,22.2,37.3
Ware,GA,26.0,35.8
Wayne,GA,19.7,35.4
Webster,GA,18.6,38.6
Wheeler,GA,35.6,33.2
Wilcox,GA,27.9,35.2
Worth,GA,18.2,36.8
Acadia,LA,20.7,39.5
Allen,LA,21.1,35.6
Ascension,LA,9.6,35.0
Assumption,LA,15.8,37.9
Avoyelles,LA,21.6,39.0
Beauregard,LA,14.5,37.2
Calcasieu,LA,16.6,33.9
Caldwell,LA,21.4,39.1
Cameron,LA,13.1,38.2
Catahoula,LA,28.4,38.0
Concordia,LA,28.6,37.4
East Baton Rouge,LA,16.4,31.8
East Feliciana,LA,19.9,38.0
Evangeline,LA,24.5,37.3
Grant,LA,18.2,36.0
Iberia,LA,22.5,37.0
Iberville,LA,23.7,37.2
Jefferson,LA,16.1,36.4
Jefferson Davis,LA,17.6,36.6
Lafayette,LA,16.2,33.8
Lafourche,LA,14.5,36.2
La Salle,LA,17.3,37.3
Livingston,LA,11.7,34.9
Natchitoches,LA,21.7,35.4
Orleans,LA,21.1,34.2
Plaquemines,LA,16.6,35.2
Pointe Coupee,LA,17.3,40.0
Rapides,LA,18.7,37.6
Red River,LA,23.7,38.6
Sabine,LA,22.1,38.8
St. Bernard,LA,21.3,36.4
St. Charles,LA,11.3,35.5
St. Helena,LA,22.7,37.9
St. James,LA,13.0,35.9
St. John the Baptist,LA,16.9,35.0
St. Landry,LA,22.6,38.5
St. Martin,LA,17.0,36.1
St. Mary,LA,19.8,38.3
St. Tammany,LA,10.0,38.3
Tangipahoa,LA,20.1,34.0
Tensas,LA,30.8,42.9
Terrebonne,LA,15.7,37.9
Vermilion,LA,15.4,37.2
Vernon,LA,16.1,32.6
Washington,LA,22.5,38.9
West Baton Rouge,LA,14.6,34.7
West Feliciana,LA,21.9,36.3
Winn,LA,22.6,37.7
Adams,MS,27.2,36.5
Amite,MS,21.7,42.0
Claiborne,MS,34.1,34.2
Clarke,MS,19.2,39.9
Copiah,MS,22.5,38.6
Covington,MS,20.3,39.0
Forrest,MS,24.9,35.3
Franklin,MS,21.4,40.7
George,MS,17.8,38.1
Greene,MS,21.4,36.6
Hancock,MS,15.6,39.6
Harrison,MS,16.8,36.9
Jackson,MS,13.4,36.7
Jasper,MS,19.3,39.0
Jefferson,MS,30.8,38.2
Jefferson Davis,MS,25.2,40.5
Jones,MS,18.8,37.1
Lamar,MS,12.6,34.9
Lawrence,MS,19.1,38.9
Lincoln,MS,18.7,37.2
Marion,MS,19.2,39.6
Pearl River,MS,15.8,39.3
Perry,MS,18.1,40.2
Pike,MS,26.5,37.5
Simpson,MS,21.2,38.3
Smith,MS,16.1,39.6
Stone,MS,17.4,37.8
Walthall,MS,23.5,39.7
Wayne,MS,22.1,37.8
Wilkinson,MS,28.4,38.7
Bibb,AL,17.8,36.9
Colbert,AL,14.4,35.7
Fayette,AL,16.5,40.5
Franklin,AL,17.2,36.2
Greene,AL,27.9,39.9
Hale,AL,21.9,37.9
Lamar,AL,17.4,40.3
Lauderdale,AL,13.9,35.4
Lawrence,AL,15.4,37.8
Marengo,AL,18.3,37.5
Marion,AL,16.8,39.6
Perry,AL,30.7,36.2
Pickens,AL,22.7,36.6
Sumter,AL,29.2,34.3
Tuscaloosa,AL,14.4,31.9
Walker,AL,16.4,36.7
Winston,AL,17.4,41.4
Arkansas,AR,17.2,39.0
Ashley,AR,17.1,39.6
Baxter,AR,14.4,42.1
Boone,AR,14.1,39.6
Bradley,AR,20.6,37.7
Calhoun,AR,16.2,40.4
Carroll,AR,14.1,38.6
Chicot,AR,26.8,40.4
Clark,AR,20.1,35.1
Clay,AR,18.1,41.1
Cleburne,AR,14.5,42.6
Cleveland,AR,13.8,41.4
Columbia,AR,18.3,36.8
Conway,AR,15.8,38.7
Craighead,AR,16.8,35.8
Crittenden,AR,22.9,38.5
Cross,AR,21.2,38.9
Dallas,AR,19.5,41.3
Desha,AR,22.8,39.1
Drew,AR,18.4,36.7
Faulkner,AR,12.0,34.8
Fulton,AR,17.0,44.0
Garland,AR,15.7,40.3
Grant,AR,9.9,38.2
Greene,AR,17.1,36.6
Hot Spring,AR,14.9,39.3
Independence,AR,15.0,38.6
Izard,AR,20.1,41.0
Jackson,AR,23.1,39.5
Jefferson,AR,18.9,37.3
Johnson,AR,17.3,38.1
Lafayette,AR,19.8,42.8
Lawrence,AR,19.2,38.8
Lee,AR,36.8,38.6
Lincoln,AR,23.6,35.5
Lonoke,AR,10.9,36.2
Marion,AR,19.1,43.8
Mississippi,AR,21.0,38.2
Monroe,AR,23.8,42.0
Montgomery,AR,18.8,43.8
Nevada,AR,19.1,40.1
Newton,AR,18.7,42.6
Ouachita,AR,20.5,38.4
Perry,AR,14.7,40.3
Phillips,AR,22.1,39.8
Pike,AR,18.6,40.6
Poinsett,AR,21.2,40.8
Pope,AR,14.1,35.9
Prairie,AR,14.5,41.2
Pulaski,AR,15.3,35.2
Randolph,AR,16.3,41.1
St. Francis,AR,30.1,37.0
Saline,AR,8.2,37.1
Searcy,AR,22.3,43.6
Sharp,AR,18.1,43.5
Stone,AR,20.1,44.9
Union,AR,16.9,38.5
Van Buren,AR,16.4,45.2
White,AR,14.8,38.1
Woodruff,AR,22.6,41.0
Yell,AR,14.3,38.3
Alexander,IL,24.2,37.9
Franklin,IL,15.5,36.1
Gallatin,IL,15.6,38.0
Hamilton,IL,13.0,36.6
Hardin,IL,18.0,38.5
Jackson,IL,17.2,30.0
Jefferson,IL,12.5,35.5
Johnson,IL,14.9,35.0
Massac,IL,14.8,36.5
Monroe,IL,4.1,34.5
Perry,IL,15.1,34.8
Pope,IL,15.6,38.6
Pulaski,IL,20.4,37.2
Randolph,IL,12.0,35.0
Saline,IL,15.3,36.4
Union,IL,14.0,36.1
Washington,IL,7.6,35.2
White,IL,15.4,36.1
Williamson,IL,13.9,34.4
Gibson,IN,9.3,34.1
Posey,IN,9.3,35.4
Vanderburgh,IN,14.6,35.5
Warrick,IN,6.4,34.7
Ballard,KY,14.2,40.0
Caldwell,KY,15.3,39.6
Calloway,KY,15.6,34.6
Carlisle,KY,14.4,39.9
Christian,KY,16.9,30.1
Crittenden,KY,16.8,39.6
Fulton,KY,25.2,39.4
Graves,KY,18.2,37.8
Henderson,KY,13.4,38.5
Hickman,KY,20.9,42.0
Hopkins,KY,18.1,39.6
Livingston,KY,14.0,41.2
Lyon,KY,14.4,41.2
McCracken,KY,15.5,35.4
McLean,KY,13.6,38.9
Marshall,KY,10.3,38.3
Todd,KY,17.3,37.1
Trigg,KY,16.7,39.8
Union,KY,17.5,34.5
Webster,KY,15.6,38.6
Bienville,LA,22.8,40.3
Bossier,LA,17.8,37.2
Claiborne,LA,31.9,38.6
East Carroll,LA,37.6,37.6
Franklin,LA,24.1,38.3
Jackson,LA,20.9,38.9
Lincoln,LA,21.7,31.0
Madison,LA,33.6,36.6
Morehouse,LA,23.3,39.0
Ouachita,LA,23.7,37.5
Richland,LA,22.5,39.6
Union,LA,26.7,39.6
Webster,LA,19.7,39.1
West Carroll,LA,20.8,39.2
Alcorn,MS,17.0,38.5
Attala,MS,18.8,39.4
Benton,MS,19.8,39.3
Bolivar,MS,28.1,37.3
Calhoun,MS,17.1,39.5
Carroll,MS,15.6,42.3
Chickasaw,MS,24.8,38.8
Choctaw,MS,18.7,40.9
Clay,MS,21.5,38.5
Coahoma,MS,39.6,36.3
DeSoto,MS,9.5,35.4
Grenada,MS,21.4,38.2
Hinds,MS,25.9,33.3
Holmes,MS,34.5,37.5
Humphreys,MS,33.3,39.5
Issaquena,MS,43.3,37.4
Itawamba,MS,13.9,38.5
Kemper,MS,25.2,37.8
Lafayette,MS,17.6,30.6
Lauderdale,MS,22.5,37.0
Leake,MS,21.0,38.4
Lee,MS,13.3,37.2
Leflore,MS,25.3,34.6
Lowndes,MS,16.5,35.5
Madison,MS,12.6,35.2
Marshall,MS,22.7,37.3
Monroe,MS,17.5,40.0
Montgomery,MS,21.2,41.0
Neshoba,MS,18.9,37.2
Newton,MS,16.3,37.9
Noxubee,MS,26.2,37.3
Oktibbeha,MS,23.5,27.9
Panola,MS,21.0,37.9
Pontotoc,MS,12.8,37.6
Prentiss,MS,16.5,40.0
Quitman,MS,29.9,39.1
Rankin,MS,10.0,36.5
Scott,MS,18.3,37.9
Sharkey,MS,30.3,40.1
Sunflower,MS,34.8,35.2
Tallahatchie,MS,32.0,36.8
Tate,MS,14.0,39.3
Tippah,MS,16.5,38.5
Tishomingo,MS,14.6,40.9
Tunica,MS,26.7,35.4
Union,MS,13.5,36.9
Warren,MS,19.2,38.7
Washington,MS,27.7,38.7
Webster,MS,15.7,39.0
Winston,MS,21.8,40.0
Yalobusha,MS,21.2,38.3
Yazoo,MS,31.0,34.5
Benton,MO,16.8,42.7
Bollinger,MO,16.3,37.4
Butler,MO,21.2,37.0
Camden,MO,14.0,40.6
Cape Girardeau,MO,11.9,32.5
Carter,MO,20.3,37.6
Christian,MO,8.8,34.0
Crawford,MO,16.3,38.5
Dallas,MO,24.1,38.8
Dent,MO,15.1,38.7
Douglas,MO,17.8,40.9
Dunklin,MO,20.2,38.1
Greene,MO,14.3,33.1
Hickory,MO,19.6,42.9
Howell,MO,18.4,36.2
Iron,MO,19.5,38.8
Jefferson,MO,8.9,35.1
Laclede,MO,16.3,36.8
Madison,MO,16.3,37.3
Maries,MO,12.9,38.5
Miller,MO,13.9,35.6
Mississippi,MO,19.1,35.5
New Madrid,MO,18.9,39.8
Oregon,MO,22.0,40.7
Ozark,MO,20.3,42.9
Pemiscot,MO,35.3,38.3
Perry,MO,11.7,35.4
Phelps,MO,17.5,33.0
Polk,MO,15.6,35.3
Pulaski,MO,12.5,25.4
Reynolds,MO,19.4,39.2
Ripley,MO,21.3,39.9
Ste. Genevieve,MO,9.0,37.9
St. Francois,MO,16.2,34.2
Scott,MO,14.6,35.9
Shannon,MO,21.8,39.7
Stoddard,MO,16.8,38.5
Stone,MO,14.2,42.2
Taney,MO,15.6,37.2
Texas,MO,20.3,38.1
Washington,MO,19.4,37.6
Wayne,MO,23.2,40.7
Webster,MO,15.0,36.3
Wright,MO,18.3,38.4
Benton,TN,16.9,42.2
Carroll,TN,16.7,38.0
Chester,TN,15.2,35.0
Crockett,TN,15.2,38.1
Decatur,TN,17.1,41.4
Dickson,TN,11.0,36.2
Dyer,TN,16.7,35.3
Fayette,TN,10.2,39.4
Gibson,TN,13.4,36.3
Hardeman,TN,22.0,37.5
Hardin,TN,14.8,40.2
Haywood,TN,18.7,37.4
Henderson,TN,14.6,37.3
Henry,TN,17.8,40.1
Hickman,TN,14.4,36.8
Houston,TN,15.6,39.3
Humphreys,TN,13.9,38.3
Lake,TN,36.4,36.2
Lauderdale,TN,19.8,36.5
Lawrence,TN,15.2,37.3
Lewis,TN,14.3,39.6
McNairy,TN,15.0,41.0
Madison,TN,22.2,34.5
Montgomery,TN,10.8,29.1
Obion,TN,15.1,38.8
Perry,TN,16.1,40.8
Shelby,TN,19.1,33.1
Stewart,TN,13.2,38.3
Tipton,TN,12.7,34.6
Wayne,TN,20.2,37.7
Weakley,TN,16.9,35.5
Adams,IL,10.7,33.9
Bond,IL,10.8,34.1
Boone,IL,6.8,32.2
Brown,IL,16.7,29.8
Bureau,IL,10.0,35.9
Calhoun,IL,9.2,37.4
Carroll,IL,10.5,36.3
Cass,IL,12.2,33.8
